Set Name,Effect 1,,,,Effect 2,,,,Effect 3,,,,Effect 4,,,,2 set Bonus,,,,4 set Bonus,,,,,,,,,,,,,,,
,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType,Value,Buff/Debuff,Condition,ConditionType
Hope and Fixation,24,SELF_DMG_PERC,Fire,Element,6,SELF_CRIT_PERC,8 stacks,,,,,,,,,,12,SELF_ATK_PERC,,,25,SELF_ATK_PERC,Start | Theurgy,,,,,,,,,,,,,
Hope and Labor,5,ALLY_PIERCE_PERC,Elucidator,Self_Role,,,,,,,,,,,,,12,SELF_HP_PERC,,,25,SELF_ATK_PERC,,,8,PARTY_ATK_PERC,Elucidator,Self_Role,8,PARTY_HP_PERC,Elucidator,Self_Role,8,PARTY_DEF_PERC,Elucidator,Self_Role
Hope and Transformation,12,PARTY_DMG_PERC,Down,DBuff,,,,,,,,,,,,,10,SELF_DMG_PERC,Electric,Element,25,SELF_ATK_PERC,critical hit,,,,,,,,,,,,,
Meditation and Opulence,50,SELF_CRIT_MULT_PERC,Follow,Skill_Behavior,,,,,,,,,,,,,10,SELF_DMG_PERC,Ice,Element,40,SELF_DMG_PERC,Follow,Skill_Behavior,,,,,,,,,,,,
Meditation and Courage,12,SELF_DMG_PERC,Phys&Single,Element&Range,24,SELF_DMG_PERC,Phys&AOE,Element&Range,12,SELF_DMG_PERC,Electric&Single,Element&Range,24,SELF_DMG_PERC,Electric&AOE,Element&Range,10,SELF_DMG_PERC,Phy,Element,30,SELF_CRIT_MULT_PERC,,,,,,,,,,,,,,
Meditation and Love,28,SELF_HEAL_PERC,Critical,,,,,,,,,,,,,,9,SELF_HEAL_PERC,,,23,SELF_HEAL_PERC,,,,,,,,,,,,,,
Awareness and Truth,24,SELF_DMG_PERC,Elemental Ailment,,,,,,,,,,,,,,10,SELF_DMG_PERC,Nuke,Element,30,DMG_SKILL_SINGLE,,,,,,,,,,,,,,
Awareness and Control,6,PARTY_DMG_PERC,Burn,,,,,,,,,,,,,,10,SELF_HP_PERC,,,8,DMG_SKILL_SINGLE_HP,,,,,,,,,,,,,,
Awareness and Hindrance,27,SELF_ATK_PERC,Every hit 9% per stack,,,,,,,,,,,,,,10,SELF_DMG_PERC,Curse,Element,20,SELF_DMG_PERC,Debuffed,,,,,,,,,,,,,
Growth and Opulence,30,SELF_DMG_PERC,Ice,Element,,,,,,,,,,,,,10,SELF_DMG_PERC,Ice,Element,40,SELF_DMG_PERC,Follow,Skill_Behavior,,,,,,,,,,,,
