,,,,Recommended Stats (during battle),,,,,Base Stats (lvl 80),,,,,,,,,,Hidden Stat,,,,,,,,,4* Weapon (lvl 80),,,5* Weapon (lvl 80),,,4* Weapon (lvl 80) Event,,
Character,Released/Supported,Role,IsSEES,LV10,LV10+Minds 5,LV13,LV13+Minds 5,Scaled,HP,Attack,Defense,Speed,Attack A1,Attack A2,Attack A3,Attack A4,Attack A4,Attack A6,Hidden Atk %,Hidden Def %,Hidden HP %,Hidden Crit %,Hidden Speed,Hidden Crit Dmg %,Hidden Healing Effect %,Hidden Ailment Accur. %,SP Recovery %,HP,Attack,Defense,HP,Attack,Defense,HP,Attack,Defense
Okyann,Y,Elucidator,N,"5,400","5,850","5,400","5,850",ATK,2655.40,787.70,480.00,100.00,796.50,806.10,814.90,823.70,833.30,842.10,21.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1870.00,554.00,338.00,2338.00,693.00,422.00,,,
Puppet,,Elucidator,N,,,,,,2655.40,727.70,540.00,100.00,735.70,744.50,752.50,761.30,769.30,778.10,0.00,32.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1870.00,512.00,380.00,2338.00,640.00,475.00,,,
Sephia,,Assassin,N,,,,,,2564.40,840.00,470.00,98.00,849.60,859.20,868.80,878.40,888.80,898.40,21.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1807.00,592.00,331.00,2259.00,739.00,414.00,,,
Moko,,Strategist,N,,,,,,2677.70,750.00,485.40,103.00,758.80,767.60,775.60,784.40,793.20,802.00,21.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1887.00,528.00,341.00,2358.00,660.00,400.00,,,
Key,,Saboteur,N,,,,,,3195.40,675.40,450.00,99.00,683.40,690.60,698.60,706.60,714.60,721.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2251.00,475.00,317.00,2814.00,594.00,396.00,,,
Yuki,,Defense,N,,,,,,2655.40,637.70,595.40,104.00,644.90,652.10,660.10,667.30,674.50,681.70,0.00,32.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1870.00,449.00,419.00,2338.00,561.00,524.00,,,
Fleuret,Y,Assassin,N,,,,,,2475.40,847.70,465.40,100.00,857.30,866.90,877.30,886.90,896.50,906.10,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,1744.00,596.00,328.00,2180.00,746.00,409.00,,,
Soy,Y,Defense,N,"15,600","15,600","15,600","15,600",HP,3262.30,637.70,435.40,102.00,644.90,652.10,660.10,667.30,674.50,681.70,0.00,0.00,21.80,0.00,0.00,0.00,0.00,0.00,0.00,2299.00,449.00,306.00,2873.00,561.00,383.00,,,
Mont,,Assassin,N,,,,,,2452.30,862.30,465.40,99.00,871.90,882.30,891.90,902.30,911.90,922.30,21.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1728.00,607.00,328.00,2160.00,759.00,409.00,,,
