,,,"Effect 1 - Impact, only apply when using a skill",,,,Effect 2,,,,Effect 3,,,,Effect 3_alt,,,,Note
Weapon,Character,Rarity,R0,R2,Condition,Buff/Debuff,R0,R1,Condition,Buff/Debuff,R0,R1,Condition,Buff/Debuff,R0,R1,Condition,Buff/Debuff,
,Okyann,,,,,,,,,,,,,,,,,,
,Puppet,,,,,,,,,,,,,,,,,,
,Sephia,,,,,,,,,,,,,,,,,,
,Moko,,,,,,,,,,,,,,,,,,
,Key,,,,,,,,,,,,,,,,,,
,Yuki,,,,,,,,,,,,,,,,,,
,Fleuret,,,,,,,,,,,,,,,,,,
,Soy,,,,,,,,,,,,,,,,,,
,Mont,,,,,,,,,,,,,,,,,,
,Closer,,,,,,,,,,,,,,,,,,
,Leon,,,,,,,,,,,,,,,,,,
,Cattle,,,,,,,,,,,,,,,,,,
,Riddle,,,,,,,,,,,,,,,,,,
,Rin,,,,,,,,,,,,,,,,,,
,Panther,,,,,,,,,,,,,,,,,,
,Mona,,,,,,,,,,,,,,,,,,
,Skull,,,,,,,,,,,,,,,,,,
,Joker,,,,,,,,,,,,,,,,,,
,Marian,,,,,,,,,,,,,,,,,,
,Bui,,,,,,,,,,,,,,,,,,
,Fox,,,,,,,,,,,,,,,,,,
,Vino,,,,,,,,,,,,,,,,,,
,Queen,,,,,,,,,,,,,,,,,,
,Phoebe,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,
,Chord,,,,,,,,,,,,,,,,,,
,Closer-Tropical,,,,,,,,,,,,,,,,,,
,Moko-Seaside,,,,,,,,,,,,,,,,,,
,Messa,,,,,,,,,,,,,,,,,,
,Oracle,,,,,,,,,,,,,,,,,,
,Cherish,,,,,,,,,,,,,,,,,,
,Noir,,,,,,,,,,,,,,,,,,
,Mont-Swan,,,,,,,,,,,,,,,,,,
Household Terror,Howler,5*,36,47,,SELF_EHR_PERC,18,23,,SELF_EHR_PERC,33.3,43.3,S3 Single,DEF_DECR_PERC,16.6,21.6,S3,E_DEF_DECR_PERC_AOE,
Howling Hunter,Howler,4*,12,16,,SELF_ATK_PERC,22,28.5,,SELF_EHR_PERC,,,,,,,,,
,Violet,,,,,,,,,,,,,,,,,,
"Dancing Crane, Wintry Aroma",Wind-Vast,5*,36.3,47.2,,SELF_CRIT_MULT_PERC,13.2,17.2,,ALLIES_CRIT_MULT_PERC,13.2,17.2,,SELF_DMG_PERC,,,,SELF_DMG_PERC,Assume Max SP of 200
"Sunny Day, Fleeting Sparrows",Wind-Vast,4*,12,16,,SELF_ATK_PERC,8.7,11.3,"S1, S2, HL",SELF_CRIT_PERC,,,,,,,,,
,Rin-Lion Dance,,,,,,,,,,,,,,,,,,
,Matoi,,,,,,,,,,,,,,,,,,
,Crow,,,,,,,,,,,,,,,,,,
,Turbo,,,,,,,,,,,,,,,,,,
,Luce,,,,,,,,,,,,,,,,,,
Heavenly Whisper,Ange,5*,30,39,,SELF_ATK_PERC,8.4,10.8,,PARTY_DMG_PERC,30.6,39.8,,PARTY_CRIT_MULT_PERC,,,,,
Singer's Dream,Ange,4*,12,16,,SELF_ATK_PERC,11,14.5,,SELF_ATK_PERC,,,,,,,,,
Deus Xipho,Makoto Yuki,5*,30,39,,SELF_ATK_PERC,16.3,21.2,"S3, HL",SELF_CRIT_PERC,34,44,"S3, HL",SELF_DMG_PERC,,,,,
Translucent Blade,Makoto Yuki,4*,12,16,,SELF_ATK_PERC,8.8,11.6,,PARTY_DMG_PERC,8.8,11.6,,SELF_DMG_PERC,,,,,
,Yukari,,,,,,,,,,,,,,,,,,
,Akihiko,,,,,,,,,,,,,,,,,,
,Berry,,,,,,,,,,,,,,,,,,
,Marian-Summer,,,,,,,,,,,,,,,,,,
,Puppet-Summer,,,,,,,,,,,,,,,,,,
,Blitz,,,,,,,,,,,,,,,,,,
,Bui-Prism,,,,,,,,,,,,,,,,,,
,Mitsuru,,,,,,,,,,,,,,,,,,
,Fuuka,,,,,,,,,,,,,,,,,,
,Luce-Notte,,,,,,,,,,,,,,,,,,
